Extension Number,Name,Publisher,Extension ID,Source Code,Downloads,ok,critical,high,medium,low,total vul,vulnerabilities
92,CodeLLDB,Vadim Chugunov,bee31e34-a44b-4a76-9ec2-e9fd1439a0f6,https://github.com/vadimcn/codelldb.git,4415130,True,0,0,0,0,0,
93,PHP Extension Pack,Xdebug,1a9300c9-36a6-44d1-9d09-ada3641b8727,https://github.com/zobo/vscode-php-pack.git,4392839,True,0,0,0,0,0,
94,Tailwind CSS IntelliSense,Tailwind Labs,4db62a7c-7d70-419c-96d2-6c3a4dc77ea5,https://github.com/tailwindlabs/tailwindcss-intellisense.git,4242090,True,0,0,0,0,0,
95,Angular Snippets (Version 16),John Papa,214cbfb9-7c06-4467-bad4-357ae83eb587,https://github.com/johnpapa/vscode-angular-snippets.git,4079618,True,0,0,0,0,0,
96,Excel Viewer,GrapeCity,8bb12ae3-73f8-40cf-86b7-4bd5729c6238,https://github.com/wijmo/gc-excelviewer.git,4005626,True,0,0,0,0,0,
97,vscode-pdf,tomoki1207,4386e6f6-ec10-4463-9d23-c24278718947,https://github.com/tomoki1207/vscode-pdfviewer.git,4000897,True,0,0,0,0,0,
98,TSLint,Microsoft,90a37ca1-92a2-488a-b196-7a8c0b0127ea,https://github.com/Microsoft/vscode-typescript-tslint-plugin.git,3933737,True,0,0,0,0,0,
99,React Native Tools,Microsoft,b35cd5b4-18db-46f9-ba9e-06096c3b22d3,https://github.com/microsoft/vscode-react-native.git,3913866,True,0,0,0,0,0,
100,TODO Highlight,Wayou Liu,97a08c5f-6667-4242-a5c5-045dfb6bd4b9,https://github.com/wayou/vscode-todo-highlight.git,3913308,True,0,0,0,0,0,
101,Project Manager,Alessandro Fragnani,1b747f06-3789-4ebd-ac99-f1fe430c3347,https://github.com/alefragnani/vscode-project-manager.git,3890393,True,0,0,0,0,0,
102,REST Client,Huachao Mao,dda49fd5-1f3b-4d25-bf61-4fc41905ede5,https://github.com/Huachao/vscode-restclient.git,3851995,False,2,4,7,0,13,Regular Expression Denial of Service (ReDoS); Regular Expression Denial of Service (ReDoS); Open Redirect; Server-side Request Forgery (SSRF); Prototype Pollution; Prototype Pollution; Improper Input Validation; Improper Input Validation; Prototype Pollution; Prototype Pollution; CRITICAL! Improper Input Validation; CRITICAL! Improper Input Validation; Prototype Pollution
103,Settings Sync,Shan Khan,e337c67b-55c2-4fef-8949-eb260e7fb7fd,https://github.com/shanalikhan/code-settings-sync.git,3819972,False,0,8,1,0,9,Directory Traversal; Regular Expression Denial of Service (ReDoS); Prototype Pollution; Prototype Pollution; Prototype Pollution; Prototype Pollution; Prototype Pollution; Prototype Pollution; Prototype Pollution
104,MagicPython,MagicStack Inc.,1f5eb737-5496-44a3-a8a1-36a85eee4979,https://github.com/MagicStack/MagicPython.git,3736629,True,0,0,0,0,0,
105,PlatformIO IDE,PlatformIO,6cf182b2-70cf-433e-97f2-45f414c9ad89,https://github.com/platformio/platformio-vscode-ide.git,3715488,False,0,0,1,0,1,Prototype Pollution
106,Rainbow CSV,mechatroner,3792588c-3d35-442d-91ea-fe6a755e8155,https://github.com/mechatroner/vscode_rainbow_csv.git,3652436,True,0,0,0,0,0,
107,Todo Tree,Gruntfuggly,261cac81-cd7b-4555-bb41-0c2d2bcd3e70,https://github.com/Gruntfuggly/todo-tree.git,3537562,True,0,0,0,0,0,
108,Ruby,Peng Lv,ae062c8a-c68e-4b92-9ecf-8f1d4288b05d,https://github.com/rubyide/vscode-ruby.git,3528381,True,0,0,0,0,0,
109,Community Material Theme,Equinusocio,bf8aa94a-4051-42fe-9bd1-2becad466fe7,https://github.com/material-theme/vsc-community-material-theme.git,3324052,True,0,0,0,0,0,
110,Simple React Snippets,Burke Holland,a84825e8-5f04-4988-b85a-4942e795bcbe,https://github.com/burkeholland/simple-react-snippets.git,3268163,True,0,0,0,0,0,
111,C/C++ Compile Run,danielpinto8zz6,f3b153f9-13ba-4992-9f90-1779d968df49,https://github.com/danielpinto8zz6/c-cpp-compile-run.git,3261291,True,0,0,0,0,0,
112,Debugger for Firefox,Firefox DevTools,c5f4d87f-a524-462c-ac01-923eb19cf3e9,https://github.com/firefox-devtools/vscode-firefox-debug.git,3224087,True,0,0,0,0,0,
113,SQLTools,Matheus Teixeira,6a2bbab0-d8f0-43fa-9b26-e6a3b7892a0b,https://github.com/mtxr/vscode-sqltools.git,3223865,True,0,0,0,0,0,
114,HashiCorp Terraform,HashiCorp,4a23294b-fd16-4c51-9759-da9936474cf8,https://github.com/hashicorp/vscode-terraform.git,3219994,True,0,0,0,0,0,
115,Material Theme Icons,Equinusocio,6959958f-be4d-42c4-8aa4-dc2c2f086b0a,https://github.com/material-theme/vsc-material-theme-icons.git,3173592,False,0,1,0,0,1,Regular Expression Denial of Service (ReDoS)
116,Hex Editor,Microsoft,cc7d2112-5178-4472-8e0e-25dced95e7f0,https://github.com/microsoft/vscode-hexeditor.git,3153722,True,0,0,0,0,0,
117,Import Cost,Wix,c46b0018-f317-4b6c-a785-d2039b27338f,https://github.com/wix/import-cost.git,3142316,True,0,0,0,0,0,
118,Makefile Tools,Microsoft,e09cf600-90a1-414e-92a0-031f1a5391c6,https://github.com/Microsoft/vscode-makefile-tools.git,3123552,True,0,0,0,0,0,
119,French Language Pack for Visual Studio Code,Microsoft,3851b234-107a-4b82-a50d-0414e166220d,https://github.com/Microsoft/vscode-loc.git,3109847,False,0,0,0,0,0,
120,GitHub Copilot Chat,GitHub,7ec7d6e6-b89e-4cc5-a59b-d6c4d238246f,https://github.com/microsoft/vscode-copilot-release.git,3108710,False,0,0,0,0,0,
121,Bookmarks,Alessandro Fragnani,b689fcc8-d494-4dbf-a228-2c694a578afc,https://github.com/alefragnani/vscode-bookmarks.git,3104943,True,0,0,0,0,0,
